Date,Open,High,Low,Close,Volume,Adj Close
2014-04-25,9.75,9.75,9.73,9.74,2000,9.74
2014-04-24,9.78,9.78,9.71,9.73,10900,9.73
2014-04-23,9.69,9.75,9.69,9.75,39600,9.75
2014-04-22,9.68,9.75,9.68,9.74,97400,9.74
2014-04-21,9.75,9.79,9.65,9.67,182400,9.67
2014-04-17,9.70,9.81,9.70,9.77,165200,9.77
2014-04-16,9.69,9.75,9.69,9.72,134500,9.72
2014-04-15,9.70,9.74,9.69,9.69,68600,9.69
2014-04-14,9.69,9.72,9.69,9.69,18400,9.69
2014-04-11,9.71,9.73,9.69,9.71,21900,9.71
2014-04-10,9.68,9.68,9.68,9.68,000,9.68
2014-04-09,9.73,9.73,9.68,9.68,14300,9.68
2014-04-08,9.73,9.73,9.73,9.73,000,9.73
2014-04-07,9.73,9.73,9.73,9.73,000,9.73
2014-04-04,9.73,9.73,9.71,9.73,2400,9.73
2014-04-03,9.71,9.71,9.71,9.71,000,9.71
2014-04-02,9.71,9.71,9.71,9.71,000,9.71
2014-04-01,9.71,9.71,9.71,9.71,000,9.71
2014-03-31,9.71,9.71,9.71,9.71,000,9.71
2014-03-28,9.66,9.78,9.65,9.71,2300,9.71
2014-03-27,9.70,9.70,9.70,9.70,000,9.70
2014-03-26,9.72,9.72,9.70,9.70,250300,9.70
2014-03-25,9.66,9.66,9.65,9.65,2012800,9.65
2014-03-24,9.69,9.69,9.69,9.69,000,9.69
2014-03-21,9.69,9.69,9.69,9.69,000,9.69
2014-03-20,9.62,9.73,9.60,9.69,2400,9.69
2014-03-19,9.64,9.78,9.64,9.72,3200,9.72
2014-03-18,9.63,9.73,9.63,9.73,1500,9.73
2014-03-17,9.67,9.67,9.65,9.65,200,9.65
2014-03-14,9.62,9.72,9.62,9.72,3100,9.72
2014-03-13,9.70,9.73,9.62,9.73,15300,9.73
2014-03-12,9.73,9.73,9.73,9.73,000,9.73
2014-03-11,9.62,9.73,9.62,9.73,3700,9.73
2014-03-10,9.67,9.67,9.67,9.67,000,9.67
2014-03-07,9.67,9.67,9.67,9.67,900,9.67
2014-03-06,9.67,9.67,9.67,9.67,100,9.67
2014-03-05,9.67,9.67,9.67,9.67,000,9.67
2014-03-04,9.67,9.67,9.67,9.67,000,9.67
2014-03-03,9.67,9.67,9.67,9.67,300,9.67
2014-02-28,9.65,9.66,9.62,9.66,9400,9.66
2014-02-27,9.66,9.66,9.66,9.66,000,9.66
2014-02-26,9.66,9.66,9.66,9.66,000,9.66
2014-02-25,9.66,9.66,9.66,9.66,000,9.66
2014-02-24,9.66,9.66,9.66,9.66,000,9.66
2014-02-21,9.66,9.66,9.66,9.66,000,9.66
2014-02-20,9.66,9.66,9.66,9.66,1100,9.66
2014-02-19,9.64,9.64,9.64,9.64,1100,9.64
2014-02-18,9.63,9.63,9.63,9.63,000,9.63
2014-02-14,9.69,9.69,9.63,9.63,11400,9.63
2014-02-13,9.64,9.68,9.64,9.68,3600,9.68
2014-02-12,9.65,9.67,9.65,9.67,1900,9.67
2014-02-11,9.69,9.69,9.69,9.69,000,9.69
2014-02-10,9.68,9.69,9.68,9.69,6000,9.69
2014-02-07,9.64,9.66,9.64,9.66,1800,9.66
2014-02-06,9.64,9.64,9.64,9.64,000,9.64
2014-02-05,9.59,9.69,9.55,9.64,1000,9.64
2014-02-04,9.64,9.68,9.62,9.65,1300,9.65
2014-02-03,9.60,9.69,9.60,9.66,3300,9.66
2014-01-31,9.67,9.69,9.62,9.67,27600,9.67
2014-01-30,9.70,9.70,9.65,9.68,2200,9.68
2014-01-29,9.66,9.74,9.50,9.66,18300,9.66
2014-01-28,9.65,9.70,9.58,9.66,54400,9.66
2014-01-27,9.67,9.69,9.61,9.61,7800,9.61
2014-01-24,9.66,9.66,9.61,9.62,9100,9.62
2014-01-23,9.66,9.69,9.60,9.61,38700,9.61
2014-01-22,9.68,9.69,9.56,9.63,130500,9.63
2014-01-21,9.63,9.68,9.59,9.61,177800,9.61
2014-01-17,9.61,9.70,9.61,9.62,280100,9.62
2014-01-16,9.59,9.63,9.55,9.55,12200,9.55
2014-01-15,9.62,9.66,9.55,9.55,4800,9.55
2014-01-14,9.58,9.58,9.55,9.55,3100,9.55
2014-01-13,9.65,9.65,9.65,9.65,1000,9.65
2014-01-10,9.64,9.64,9.64,9.64,000,9.64
2014-01-09,9.64,9.64,9.64,9.64,1400,9.64
2014-01-08,9.60,9.60,9.60,9.60,000,9.60
2014-01-07,9.55,9.60,9.55,9.60,400,9.60
2014-01-06,9.62,9.62,9.62,9.62,100,9.62
2014-01-03,9.64,9.64,9.64,9.64,1100,9.64
2014-01-02,9.68,9.68,9.68,9.68,000,9.68
2013-12-31,9.68,9.68,9.68,9.68,200,9.68
2013-12-30,9.65,9.65,9.65,9.65,1300,9.65
2013-12-27,9.65,9.65,9.65,9.65,100,9.65
2013-12-26,9.66,9.67,9.65,9.67,1500,9.67
2013-12-24,9.74,9.74,9.74,9.74,000,9.74
2013-12-23,9.72,9.74,9.72,9.74,1500,9.74
2013-12-20,9.79,9.79,9.79,9.79,000,9.79
2013-12-19,9.79,9.79,9.79,9.79,000,9.79
2013-12-18,9.79,9.79,9.79,9.79,000,9.79
2013-12-17,9.79,9.79,9.79,9.79,000,9.79
2013-12-16,9.79,9.79,9.79,9.79,000,9.79
2013-12-13,9.79,9.79,9.79,9.79,000,9.79
2013-12-12,9.77,9.79,9.77,9.79,200,9.79
2013-12-11,9.70,9.70,9.60,9.67,300,9.67
2013-12-10,9.72,9.72,9.72,9.72,000,9.72
2013-12-09,9.70,9.72,9.70,9.72,2100,9.72
2013-12-06,9.56,9.70,9.56,9.68,1400,9.68
2013-12-05,9.50,9.50,9.50,9.50,000,9.50
2013-12-04,9.50,9.50,9.50,9.50,000,9.50
2013-12-03,9.50,9.50,9.50,9.50,000,9.50
2013-12-02,9.50,9.50,9.50,9.50,000,9.50
2013-11-29,9.80,9.80,9.50,9.50,10000,9.50
2013-11-27,9.75,9.75,9.75,9.75,200,9.75
2013-11-26,9.70,9.70,9.70,9.70,1600,9.70
2013-11-25,9.90,9.90,9.90,9.90,000,9.90
2013-11-22,9.90,9.90,9.90,9.90,000,9.90
2013-11-21,9.90,9.90,9.90,9.90,2700,9.90
2013-11-20,10.00,10.00,10.00,10.00,1600,10.00
2013-11-19,9.80,9.80,9.80,9.80,000,9.80
2013-11-18,9.80,9.80,9.80,9.80,000,9.80
2013-11-15,9.80,9.80,9.80,9.80,000,9.80
2013-11-14,9.80,9.80,9.80,9.80,000,9.80
2013-11-13,9.80,9.80,9.80,9.80,000,9.80
2013-11-12,9.80,9.80,9.80,9.80,000,9.80
2013-11-11,9.80,9.80,9.80,9.80,000,9.80
2013-11-08,9.80,9.80,9.80,9.80,000,9.80
2013-11-07,9.80,9.80,9.80,9.80,000,9.80
2013-11-06,9.80,9.80,9.80,9.80,000,9.80
2013-11-05,9.80,9.80,9.80,9.80,000,9.80
2013-11-04,9.80,9.80,9.80,9.80,000,9.80
2013-11-01,9.80,9.80,9.80,9.80,000,9.80
2013-10-31,9.88,9.88,9.80,9.80,500,9.80
2013-10-30,9.81,9.81,9.81,9.81,000,9.81
2013-10-29,9.81,9.81,9.81,9.81,000,9.81
2013-10-28,9.81,9.81,9.81,9.81,100,9.81
2013-10-25,9.79,9.79,9.79,9.79,100,9.79
2013-10-24,9.75,9.79,9.75,9.79,600,9.79
2013-10-23,9.70,9.80,9.70,9.80,100100,9.80
2013-10-22,9.81,9.81,9.80,9.80,800,9.80
2013-10-21,9.86,9.86,9.86,9.86,000,9.86
2013-10-18,9.86,9.86,9.86,9.86,000,9.86
2013-10-17,9.86,9.86,9.86,9.86,500,9.86
2013-10-16,9.93,9.93,9.93,9.93,000,9.93
2013-10-15,9.93,9.93,9.93,9.93,000,9.93
2013-10-14,9.93,9.93,9.93,9.93,000,9.93
2013-10-11,9.93,9.93,9.93,9.93,000,9.93
2013-10-10,9.93,9.93,9.93,9.93,000,9.93
2013-10-09,9.93,9.93,9.93,9.93,100,9.93
2013-10-08,9.86,9.86,9.86,9.86,000,9.86
2013-10-07,9.86,9.86,9.86,9.86,000,9.86
2013-10-04,9.86,9.86,9.86,9.86,000,9.86
2013-10-03,9.86,9.86,9.86,9.86,000,9.86
2013-10-02,9.86,9.86,9.86,9.86,100,9.86
2013-10-01,10.00,10.00,10.00,10.00,000,10.00
2013-09-30,10.01,10.01,10.00,10.00,1400,10.00
2013-09-27,9.75,9.75,9.75,9.75,000,9.75
2013-09-26,9.75,9.75,9.75,9.75,000,9.75
2013-09-25,9.75,9.75,9.75,9.75,000,9.75
2013-09-24,9.75,9.75,9.75,9.75,000,9.75
2013-09-23,9.75,9.75,9.75,9.75,000,9.75
2013-09-20,9.75,9.75,9.75,9.75,000,9.75
2013-09-19,9.95,9.95,9.75,9.75,200,9.75
