Date,Open,High,Low,Close,Volume,Adj Close
2014-04-29,0.28,0.34,0.25,0.31,134600,0.31
2014-04-28,0.40,0.45,0.30,0.35,780200,0.35
2014-04-25,0.38,0.38,0.34,0.37,97100,0.37
2014-04-24,0.44,0.44,0.38,0.38,58400,0.38
2014-04-23,0.65,0.65,0.40,0.40,309700,0.40
2014-04-22,0.62,0.63,0.59,0.59,8700,0.59
2014-04-21,0.61,0.66,0.61,0.62,10400,0.62
2014-04-17,0.66,0.66,0.61,0.63,27700,0.63
2014-04-16,0.65,0.70,0.60,0.66,72400,0.66
2014-04-15,0.61,0.68,0.60,0.66,15200,0.66
2014-04-14,0.61,0.69,0.51,0.69,70500,0.69
2014-04-11,0.65,0.69,0.58,0.61,31700,0.61
2014-04-10,0.60,0.69,0.55,0.56,15000,0.56
2014-04-09,0.70,0.70,0.55,0.55,5100,0.55
2014-04-08,0.62,0.64,0.59,0.59,17600,0.59
2014-04-07,0.72,0.72,0.56,0.60,9800,0.60
2014-04-04,0.66,0.72,0.65,0.65,6300,0.65
2014-04-03,0.65,0.72,0.65,0.66,1600,0.66
2014-04-02,0.72,0.72,0.65,0.65,22800,0.65
2014-04-01,0.65,0.66,0.64,0.66,103700,0.66
2014-03-31,0.63,0.67,0.63,0.65,131700,0.65
2014-03-28,0.67,0.69,0.64,0.66,18500,0.66
2014-03-27,0.68,0.70,0.62,0.69,3600,0.69
2014-03-26,0.72,0.72,0.65,0.67,14700,0.67
2014-03-25,0.70,0.76,0.66,0.70,22400,0.70
2014-03-24,0.70,0.75,0.66,0.69,38400,0.69
2014-03-21,0.73,0.75,0.68,0.69,9300,0.69
2014-03-20,0.70,0.79,0.65,0.67,142700,0.67
2014-03-19,0.69,0.70,0.65,0.65,14000,0.65
2014-03-18,0.71,0.71,0.67,0.69,2300,0.69
2014-03-17,0.71,0.71,0.67,0.70,16400,0.70
2014-03-14,0.66,0.72,0.66,0.69,41500,0.69
2014-03-13,0.68,0.70,0.67,0.67,9000,0.67
2014-03-12,0.72,0.72,0.67,0.69,1600,0.69
2014-03-11,0.65,0.77,0.65,0.71,82400,0.71
2014-03-10,0.75,0.75,0.68,0.72,22000,0.72
2014-03-07,0.76,0.76,0.69,0.71,53600,0.71
2014-03-06,0.72,0.84,0.71,0.71,30600,0.71
2014-03-05,0.76,0.86,0.71,0.72,16000,0.72
2014-03-04,0.75,0.85,0.75,0.76,132000,0.76
2014-03-03,0.89,0.89,0.72,0.75,32400,0.75
2014-02-28,0.70,0.93,0.70,0.73,246000,0.73
2014-02-27,0.69,0.74,0.69,0.72,91700,0.72
2014-02-26,0.70,0.72,0.69,0.69,11800,0.69
2014-02-25,0.72,0.72,0.70,0.71,60400,0.71
2014-02-24,0.69,0.73,0.69,0.72,86900,0.72
2014-02-21,0.67,0.73,0.65,0.70,42000,0.70
2014-02-20,0.66,0.74,0.66,0.70,67200,0.70
2014-02-19,0.70,0.74,0.66,0.67,12900,0.67
2014-02-18,0.66,0.74,0.66,0.71,196400,0.71
2014-02-14,0.68,0.74,0.65,0.65,165500,0.65
2014-02-13,0.70,0.74,0.68,0.70,631500,0.70
2014-02-12,0.66,0.75,0.66,0.68,2080900,0.68
2014-02-11,0.75,0.79,0.66,0.68,158900,0.68
2014-02-10,0.65,0.80,0.65,0.75,31100,0.75
2014-02-07,0.60,0.68,0.60,0.65,349200,0.65
2014-02-06,0.75,0.75,0.65,0.65,1222100,0.65
2014-02-05,0.75,0.75,0.65,0.65,109300,0.65
2014-02-04,0.75,0.79,0.65,0.67,1398300,0.67
2014-02-03,0.88,0.91,0.70,0.75,304100,0.75
2014-01-31,1.00,1.00,0.87,0.87,77800,0.87
2014-01-30,1.00,1.05,0.93,0.99,108100,0.99
2014-01-29,1.03,1.14,0.99,1.00,147900,1.00
2014-01-28,1.03,1.20,1.03,1.04,86300,1.04
2014-01-27,1.19,1.19,1.03,1.03,194800,1.03
2014-01-24,1.10,1.29,1.10,1.13,185500,1.13
2014-01-23,1.20,1.39,1.20,1.25,147600,1.25
2014-01-22,1.30,1.33,1.15,1.27,97600,1.27
2014-01-21,1.10,1.27,1.10,1.18,101400,1.18
2014-01-17,1.15,1.20,1.11,1.11,117500,1.11
2014-01-16,1.20,1.21,1.13,1.13,130000,1.13
2014-01-15,1.28,1.32,1.10,1.20,124400,1.20
2014-01-14,1.39,1.39,1.28,1.28,88500,1.28
2014-01-13,1.27,1.35,1.27,1.29,135900,1.29
2014-01-10,1.27,1.38,1.27,1.28,42800,1.28
2014-01-09,1.27,1.30,1.27,1.30,49600,1.30
2014-01-08,1.27,1.39,1.27,1.30,20300,1.30
2014-01-07,1.40,1.40,1.29,1.30,92200,1.30
2014-01-02,1.32,1.48,1.32,1.33,38100,1.33
2013-12-31,1.35,1.41,1.34,1.35,456600,1.35
2013-12-30,1.25,1.36,1.25,1.35,537200,1.35
2013-12-27,1.50,1.50,1.33,1.36,82400,1.36
2013-12-26,1.35,1.40,1.33,1.36,46600,1.36
2013-12-24,1.33,1.40,1.33,1.35,322600,1.35
2013-12-23,1.39,1.50,1.35,1.37,180400,1.37
2013-12-20,1.37,1.50,1.37,1.40,221000,1.40
2013-12-19,1.45,1.60,1.42,1.42,87200,1.42
2013-12-18,1.50,1.60,1.46,1.48,93200,1.48
2013-12-17,1.55,1.58,1.50,1.50,45800,1.50
2013-12-16,1.63,1.65,1.58,1.58,127200,1.58
2013-12-13,1.55,1.65,1.55,1.64,90200,1.64
2013-12-12,1.65,1.65,1.55,1.62,6400,1.62
2013-12-11,1.90,2.02,1.55,1.56,188000,1.56
2013-12-10,1.61,1.68,1.61,1.67,52000,1.67
2013-12-09,1.70,1.75,1.66,1.66,24000,1.66
2013-12-06,1.69,1.75,1.66,1.70,15600,1.70
2013-12-05,1.70,1.71,1.69,1.71,78400,1.71
2013-12-04,1.69,1.70,1.66,1.70,64000,1.70
2013-12-03,1.63,1.70,1.60,1.70,71200,1.70
2013-12-02,1.65,1.69,1.55,1.62,107400,1.62
2013-11-29,1.70,1.70,1.64,1.65,35400,1.65
2013-11-27,1.75,1.75,1.45,1.64,421200,1.64
2013-11-26,1.80,1.83,1.77,1.82,173200,1.82
2013-11-25,1.77,1.86,1.75,1.82,132000,1.82
2013-11-22,1.80,1.90,1.80,1.85,236800,1.85
2013-11-21,1.88,1.88,1.76,1.76,106200,1.76
2013-11-20,1.82,1.89,1.82,1.86,116000,1.86
2013-11-19,1.88,1.88,1.85,1.87,25600,1.87
2013-11-18,1.85,1.90,1.75,1.85,84800,1.85
2013-11-15,1.80,1.90,1.79,1.85,000,1.85
2013-11-14,1.79,1.80,1.75,1.77,68200,1.77
2013-11-13,1.75,1.84,1.75,1.79,85800,1.79
2013-11-12,1.80,1.92,1.75,1.76,141800,1.76
2013-11-11,1.75,1.94,1.75,1.77,146600,1.77
2013-11-08,1.95,1.95,1.75,1.79,220200,1.79
2013-11-07,1.89,1.89,1.75,1.83,81000,1.83
2013-11-06,1.82,1.94,1.75,1.85,613200,1.85
2013-11-05,1.86,2.00,1.83,1.85,1361200,1.85
2013-11-04,1.95,2.00,1.88,1.90,633400,1.90
2013-11-01,1.93,1.96,1.90,1.95,133400,1.95
2013-10-31,2.00,2.00,1.92,1.93,1012200,1.93
2013-10-30,1.98,2.00,1.95,1.98,889200,1.98
2013-10-29,2.04,2.04,1.98,2.00,1480400,2.00
2013-10-28,2.12,2.15,1.98,2.02,2004400,2.02
2013-10-25,2.15,2.17,2.11,2.14,1405600,2.14
2013-10-24,2.30,2.30,2.14,2.18,1046000,2.18
2013-10-23,2.20,2.27,2.10,2.10,3462400,2.10
2013-10-22,2.17,2.22,2.14,2.22,785600,2.22
2013-10-21,2.13,2.17,2.10,2.16,698600,2.16
2013-10-18,2.10,2.12,2.08,2.12,000,2.12
2013-10-17,2.05,2.10,2.05,2.10,000,2.10
2013-10-16,2.02,2.04,2.00,2.03,507200,2.03
2013-10-15,1.98,2.00,1.98,1.98,1017000,1.98
